,Title,Handle,Vendor,created,product_type,published_at,created_at,updated_at,price,sku,Tags,available,Image Src,Image Position,Body (HTML)
10,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,30.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
11,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,90.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
12,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,30.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
13,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,90.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
14,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,30.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
15,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,90.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
16,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,30.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
17,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,90.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
18,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,30.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
19,Archivio No.10,archivio,Jasper Morrison Shop,2024-09-13T14:55:24+01:00,Books,2024-10-01T10:11:54+01:00,2024-09-13T14:55:24+01:00,2024-12-14T08:22:47+00:00,20.00,2533-1043,"archive, archives, magazine, magazines, pink",True,https://cdn.shopify.com/s/files/1/0276/3427/files/2533-1043.jpg?v=1727773864,1,"<p>Archivio No.10 – The Design Issue, with Marco Sammicheli and Jasper Morrison as guest editors, and including a cover and an article by Jasper.</p>"
